,vote,before_90s,90s,2000s,movie,other,tv movie,video movie,Action,Documentary,Comedy,Drama,Thriller,Romance,Other_genre,United States,United Kingdom,France,Other_country,English,Other_language,rating_category
252,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,other
253,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,other
254,-0.8696683834985205,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,other
256,-0.17366767613537296,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,other
257,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,bottom_25pct
258,0.17433267754620083,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,other
259,-1.2176687371800943,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,other
260,1.218333738590922,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,other
261,-1.2176687371800943,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
262,-0.8696683834985205,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
264,-0.8696683834985205,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,other
265,-0.8696683834985205,0.0,1.0,0.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,other
266,1.218333738590922,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,other
268,-1.2176687371800943,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,bottom_25pct
269,-1.2176687371800943,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,other
271,0.5223330312277746,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,other
273,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,other
274,-1.5656690908616682,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,bottom_25pct
275,-1.5656690908616682,0.0,0.0,1.0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,other
276,0.8703333849093484,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,bottom_25pct
277,1.566334092272496,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,top_10pct
278,0.8703333849093484,1.0,0.0,0.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,other
279,-1.5656690908616682,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,other
280,0.17433267754620083,0.0,0.0,1.0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,other
281,-0.8696683834985205,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,bottom_25pct
282,-0.8696683834985205,0.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,bottom_25pct
283,0.17433267754620083,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,other
284,-1.2176687371800943,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
287,1.566334092272496,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,other
288,-0.8696683834985205,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,other
289,1.218333738590922,1.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,other
